"YEAR","ELECTION_E","ELECTION_F","PROVINCE_ID","PROVINCE_E","PROVINCE_F","GENDER_E","GENDER_F","AGE_GROUP_ID","AGE_GROUP_E","AGE_GROUP_F","VOTES","ELIGIBLE_ELECTORS","TURNOUT_ELIGIBLE_ELECTOR"
2004,"GE 38, 2004","ÉG 38, 2004",48,"Alberta","Alberta","All genders","Tous les genres",4,"25 to 34 years","25 à 34 ans",203845,446667,0.4563699732
2004,"GE 38, 2004","ÉG 38, 2004",48,"Alberta","Alberta","All genders","Tous les genres",5,"35 to 44 years","35 à 44 ans",265170,488647,0.5426611714
2004,"GE 38, 2004","ÉG 38, 2004",48,"Alberta","Alberta","All genders","Tous les genres",6,"45 to 54 years","45 à 54 ans",287722,455027,0.6323194674
2004,"GE 38, 2004","ÉG 38, 2004",48,"Alberta","Alberta","All genders","Tous les genres",7,"55 to 64 years","55 à 64 ans",192521,280876,0.6854294659
2004,"GE 38, 2004","ÉG 38, 2004",48,"Alberta","Alberta","All genders","Tous les genres",8,"65 to 74 years","65 à 74 ans",132298,174661,0.7574586882
2004,"GE 38, 2004","ÉG 38, 2004",48,"Alberta","Alberta","All genders","Tous les genres",9,"75 years and over","75 ans et plus",85964,143975,0.5970762717
2004,"GE 38, 2004","ÉG 38, 2004",48,"Alberta","Alberta","All genders","Tous les genres",10,"All ages","Tous les âges",1272512,2313535,0.5500292842
2004,"GE 38, 2004","ÉG 38, 2004",59,"British Columbia","Colombie-Britannique","All genders","Tous les genres",1,"First time","1re fois",59697,186221,0.320571243
2004,"GE 38, 2004","ÉG 38, 2004",59,"British Columbia","Colombie-Britannique","All genders","Tous les genres",2,"Not first time","2e fois ou plus",53347,170131,0.3135671684
2004,"GE 38, 2004","ÉG 38, 2004",59,"British Columbia","Colombie-Britannique","All genders","Tous les genres",3,"18 to 24 years","18 à 24 ans",113045,356352,0.3172273296
2004,"GE 38, 2004","ÉG 38, 2004",59,"British Columbia","Colombie-Britannique","All genders","Tous les genres",4,"25 to 34 years","25 à 34 ans",202215,490791,0.4120180992
2004,"GE 38, 2004","ÉG 38, 2004",59,"British Columbia","Colombie-Britannique","All genders","Tous les genres",5,"35 to 44 years","35 à 44 ans",295099,607847,0.4854829049
2004,"GE 38, 2004","ÉG 38, 2004",59,"British Columbia","Colombie-Britannique","All genders","Tous les genres",6,"45 to 54 years","45 à 54 ans",385411,600927,0.6413610713
2004,"GE 38, 2004","ÉG 38, 2004",59,"British Columbia","Colombie-Britannique","All genders","Tous les genres",7,"55 to 64 years","55 à 64 ans",323325,427231,0.7567929966
2004,"GE 38, 2004","ÉG 38, 2004",59,"British Columbia","Colombie-Britannique","All genders","Tous les genres",8,"65 to 74 years","65 à 74 ans",223628,282548,0.7914674595
2004,"GE 38, 2004","ÉG 38, 2004",59,"British Columbia","Colombie-Britannique","All genders","Tous les genres",9,"75 years and over","75 ans et plus",190910,264830,0.7208780858
2004,"GE 38, 2004","ÉG 38, 2004",59,"British Columbia","Colombie-Britannique","All genders","Tous les genres",10,"All ages","Tous les âges",1733633,3030526,0.5720567981
2004,"GE 38, 2004","ÉG 38, 2004",60,"Yukon","Yukon","All genders","Tous les genres",1,"First time","1re fois",449,1745,0.2574965502
2004,"GE 38, 2004","ÉG 38, 2004",60,"Yukon","Yukon","All genders","Tous les genres",2,"Not first time","2e fois ou plus",416,1387,0.3001335334
2004,"GE 38, 2004","ÉG 38, 2004",60,"Yukon","Yukon","All genders","Tous les genres",3,"18 to 24 years","18 à 24 ans",866,3133,0.2762900386
2004,"GE 38, 2004","ÉG 38, 2004",60,"Yukon","Yukon","All genders","Tous les genres",4,"25 to 34 years","25 à 34 ans",1726,3910,0.4414666892
2004,"GE 38, 2004","ÉG 38, 2004",60,"Yukon","Yukon","All genders","Tous les genres",5,"35 to 44 years","35 à 44 ans",2645,5149,0.5136184299
